"LocationHeirarchyKey","LocationID","LocationParentID","LocationReferenceCode","LocationReferenceDescription","ParentLocationReference","DIT_LocationHierarchyCode","LocationHierarchyDescription","DIT_ProjectRdCode","ProjectRdDescription","DIT_LocationCode","LocationCodeDescription","DIT_SubLocationCode","SubLocationCodeDescription","SiteIDLocationReference","Uniclass_CoCode","Uniclass_CoTitle","Uniclass_EnCode","Uniclass_EnTitle","Uniclass_SLCode","Uniclass_SLTitle","Modified","Modified By","ID"
"3XP","OY56P8","EK14W1","SN030","Cross Passage S03","L003","06203-L003-SN030","North South Motorway;Southern Tunnels;Cross Passage S03","06203","North South Motorway","L003","3030","SN030","Cross Passage S03","3030","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","250"
"3CW","SV23Z9","EK14W1","SL031","Between Cross Passage S03 & S04, West Carriageway, Northbound","L003","06203-L003-SL031","North South Motorway;Southern Tunnels;Between Cross Passage S03 & S04, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL031","Between Cross Passage S03 & S04, West Carriageway, Northbound","3031,3036","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:01 AM","John Marsden-T2D","251"
"3CW","GW50I3","EK14W1","SL032","Between Cross Passage S03 & S04, East Carriageway, Southbound","L003","06203-L003-SL032","North South Motorway;Southern Tunnels;Between Cross Passage S03 & S04, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL032","Between Cross Passage S03 & S04, East Carriageway, Southbound","3032,3037","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:01 AM","John Marsden-T2D","252"
"3IN","BV51P5","EK14W1","SL033","Invert Between Cross Passage S03 & S04, West Carriageway, Northbound","L003","06203-L003-SL033","North South Motorway;Southern Tunnels;Invert Between Cross Passage S03 & S04, West Carriageway, Northbound","06203","North South Motorway","L003","3033","SL033","Invert Between Cross Passage S03 & S04, West Carriageway, Northbound","3033","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","253"
"3IN","EZ85I8","EK14W1","SL034","Invert Between Cross Passage S03 & S04, East Carriageway, Southbound","L003","06203-L003-SL034","North South Motorway;Southern Tunnels;Invert Between Cross Passage S03 & S04, East Carriageway, Southbound","06203","North South Motorway","L003","3034","SL034","Invert Between Cross Passage S03 & S04, East Carriageway, Southbound","3034","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","254"
"3XP","IH30A9","EK14W1","SN040","Cross Passage S04","L003","06203-L003-SN040","North South Motorway;Southern Tunnels;Cross Passage S04","06203","North South Motorway","L003","3040","SN040","Cross Passage S04","3040","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","255"
"3CW","AY55H3","EK14W1","SL041","Between Cross Passage S04 & S05, West Carriageway, Northbound","L003","06203-L003-SL041","North South Motorway;Southern Tunnels;Between Cross Passage S04 & S05, West Carriageway, Northbound","06203","North South Motorway","L003","Southern Tunnels","SL041","Between Cross Passage S04 & S05, West Carriageway, Northbound","3041,3046","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:01 AM","John Marsden-T2D","256"
"3CW","TA47L1","EK14W1","SL042","Between Cross Passage S04 & S05, East Carriageway, Southbound","L003","06203-L003-SL042","North South Motorway;Southern Tunnels;Between Cross Passage S04 & S05, East Carriageway, Southbound","06203","North South Motorway","L003","Southern Tunnels","SL042","Between Cross Passage S04 & S05, East Carriageway, Southbound","3042,3047","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_35_74","Road sections","16/04/2026 11:01 AM","John Marsden-T2D","257"
"3IN","OC17D5","EK14W1","SL043","Invert Between Cross Passage S04 & S05, West Carriageway, Northbound","L003","06203-L003-SL043","North South Motorway;Southern Tunnels;Invert Between Cross Passage S04 & S05, West Carriageway, Northbound","06203","North South Motorway","L003","3043","SL043","Invert Between Cross Passage S04 & S05, West Carriageway, Northbound","3043","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","258"
"3IN","IR78N6","EK14W1","SL044","Invert Between Cross Passage S04 & S05, East Carriageway, Southbound","L003","06203-L003-SL044","North South Motorway;Southern Tunnels;Invert Between Cross Passage S04 & S05, East Carriageway, Southbound","06203","North South Motorway","L003","3044","SL044","Invert Between Cross Passage S04 & S05, East Carriageway, Southbound","3044","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_64","Platform tunnels","6/06/2025 4:37 PM","Tay, Bryan","259"
"3XP","NT99H5","EK14W1","SN050","Cross Passage S05","L003","06203-L003-SN050","North South Motorway;Southern Tunnels;Cross Passage S05","06203","North South Motorway","L003","3050","SN050","Cross Passage S05","3050","Co_80_35_75","Road networks","En_80_96_90","Tunnels","SL_80_96_18","Crossover tunnels","6/06/2025 4:37 PM","Tay, Bryan","260"
