"Asset Identifier (Label)","Managed","DIT_AssetType","AssetTypeRef","SiteID_Drawings","Manual_SiteID","AssetCapture","T2D_DisciplineCode","T2D_ClashGroup","Uniclass_EfCode","Uniclass_EfTitle","Uniclass_SsCode","Uniclass_SsTitle","Uniclass_PrCode","Uniclass_PrTitle","UniclassCodeKey","LocationHeirarchyKey","DIT_AssetClass","DIT_AssetComponent","Ausroads_Asset_Discipline","DIT_AssetCategory","ShapeField","Created By","MPDId","Compliance Asset Id","ID","Created","Modified","Modified By"
"Insulation","No","N/A",,"N/A","No","N/A","AR","331","EF_30_25_80","Soffits","Ss_32_10_10","Cavity and void insulation systems","Pr_25_71_70","Rigid insulation boards and panels","EF_30_25_80Ss_32_10_10Pr_25_71_70","3FC","N/A","N/A",,,,"Tay, Bryan","971",,"452","14/05/2025 6:33 PM","20/05/2026 3:52 PM","Muhammad Abid-T2D"
"Intermediate Layer","Yes","FPV","FPV","No","No","Model","PV","222","EF_30_60_95","Vehicular pavements","Ss_30_14_05","Asphalt road and paving systems","Pr_35_31_05_04","Asphalt concrete (AC) binder courses","EF_30_60_95Ss_30_14_05Pr_35_31_05_04","1","01.01 Roads","01.01.01.01.01 Asphalt Sealed Pavements (Flexible sub-base)",,"Linear Feature","Polygon","Tay, Bryan","675",,"148","13/05/2025 5:18 PM","20/05/2026 5:35 PM","Gunagi, Pooja"
"Internal Partitions (Steel and Gyprock)","No","N/A",,"N/A","No","N/A","AR","326","EF_25_10_40","Internal walls","Ss_25_10_30_35","Gypsum board partition systems","Pr_25_71_57_60","Partition panels","EF_25_10_40Ss_25_10_30_35Pr_25_71_57_60","3FC","N/A","N/A",,,,"Tay, Bryan","820",,"295","13/05/2025 5:19 PM","20/05/2026 3:52 PM","Muhammad Abid-T2D"
"Internal Partitions (Steel and Gyprock) DU","No","N/A",,"N/A","No","N/A","DU","382","EF_25_10_40","Internal walls","Ss_25_10_30_35","Gypsum board partition systems","Pr_25_71_57_60","Partition panels","EF_25_10_40Ss_25_10_30_35Pr_25_71_57_60","3FC","N/A","N/A",,,,"Phelan, David",,,"3283","12/12/2025 4:21 PM","20/05/2026 3:53 PM","Muhammad Abid-T2D"
"Internally Illuminated 'Turn Left With Care' Sign","Yes","TLWC","TLWC","Yes","No","Model","TF","245","EF_75_30_35","Road signals and controls","Ss_40_10_25_25","Electrical external signage systems","Pr_40_10_77_41","Illuminated signs","EF_75_30_35Ss_40_10_25_25Pr_40_10_77_41","2; 3","01.05 M&E","01.05.05.05.16 Backlit Directional Signs",,"Point Asset","Point","Tay, Bryan","719",,"192","13/05/2025 5:19 PM","20/05/2026 5:57 PM","Gunagi, Pooja"
"Internally Illuminated 'Turn Right With Care' Sign","Yes","TRWC","TRWC","Yes","No","Model","TF","245","EF_75_30_35","Road signals and controls","Ss_40_10_25_25","Electrical external signage systems","Pr_40_10_77_41","Illuminated signs","EF_75_30_35Ss_40_10_25_25Pr_40_10_77_41","2; 3","01.05 M&E","01.05.05.05.16 Backlit Directional Signs",,"Point Asset","Point","Tay, Bryan","720",,"193","13/05/2025 5:19 PM","20/05/2026 5:57 PM","Gunagi, Pooja"
"Intertank Connection System Pipework","No","ITP","ITP","No","No","Unsure","FS",,"EF_55_30_96","Water firefighting supply","Ss_55_30_96","Water firefighting systems","Pr_65_52_63_82","Steel pipes","EF_55_30_96Ss_55_30_96Pr_65_52_63_82",,"01.05 M&E","01.05.02.12.05 Deluge Pump manifold",,"Point Asset","Line","James McKinlay-T2D",,,"2761","25/07/2025 3:14 PM","20/05/2026 5:04 PM","Gunagi, Pooja"
"Intumescent Fire Damper","Yes","IFD","IFD","Yes","No","Model","VA",,"EF_65","Ventilation and air conditioning functions","Ss_65","Ventilation and air conditioning systems","Pr_65_65_24_42","Intumescent fire and smoke dampers","EF_65Ss_65Pr_65_65_24_42",,"01.05 M&E","01.05.03.02.02 Fan Dampers",,"Point Asset","Point","Mazarei, Ashkan (DIT)",,,"3590","24/04/2026 1:45 PM","21/05/2026 4:18 PM","Muhammad Abid-T2D"
"In-Tunnel - Conduit - Comms","Conditional","CCD","CCD","No","No","Model","TU","308","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_71","3IN","01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset",,"Ryan, Xavier",,,"3573","20/04/2026 8:47 AM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
"In-Tunnel - Conduit - Electrical","Conditional","ECD","ECD","No","No","Model","TU","308","EF_70_30_45","Low-voltage electricity distribution","Ss_70_30_45_45","Low-voltage distribution systems","Pr_65_70_11_71","Rigid conduit","EF_70_30_45Ss_70_30_45_45Pr_65_70_11_71","3IN","01.05 M&E","01.05.01.03.04 Cables (LV)",,"Point Asset","Line","Ryan, Xavier",,,"3465","30/03/2026 2:21 PM","21/05/2026 3:42 PM","Muhammad Abid-T2D"
